lga_code_2016,lga_name_2016,did_not_go_to_schoolool_indig_f,did_not_go_to_schoolool_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y10_equiv_indig_f,y10_equiv_indig_m,y10_equiv_non_indig_f,y10_equiv_non_indig_m,y10_equiv_indig_stat_notstated_f,y10_equiv_indig_stat_notstated_m,y12_equiv_indig_f,y12_equiv_indig_m,y12_equiv_non_indig_f,y12_equiv_non_indig_m,y12_equiv_indig_stat_notstated_f,y12_equiv_indig_stat_notstated_m
30300,Balonne,0,7,8,11,0,0,35,37,94,132,3,5,59,75,318,428,3,7,68,42,680,522,14,9
30370,Banana,0,0,14,35,0,0,16,21,401,552,5,8,49,38,1273,1641,13,17,72,54,2221,1840,19,10
30410,Barcaldine,0,0,0,3,0,0,5,12,92,126,0,0,8,16,274,335,4,5,20,12,486,368,3,3
30450,Barcoo,0,0,0,0,0,0,3,0,5,24,0,0,3,0,18,45,0,0,3,0,44,28,0,0
30760,Blackall-Tambo,0,3,3,5,0,0,3,0,87,106,0,0,4,11,224,214,0,3,15,7,289,224,0,0
34710,Longreach,0,0,3,5,0,0,5,8,68,105,0,0,16,20,325,336,3,3,15,23,709,518,9,4
34770,Mackay,17,20,90,119,0,3,125,135,2381,2672,40,34,492,484,11164,12329,100,105,708,580,18777,16016,110,113
34800,McKinlay,0,0,3,0,0,0,0,0,13,26,0,0,3,0,72,119,0,3,9,5,128,127,3,0
34830,Mapoon,0,0,0,0,0,0,18,11,0,0,0,0,41,31,0,8,0,0,13,17,6,3,0,0
34860,Maranoa,4,9,21,27,0,0,30,46,290,381,0,6,96,93,1079,1377,10,12,88,57,2096,1609,14,10
34880,Mareeba,12,8,61,51,0,0,80,96,563,678,10,11,200,172,1771,1855,23,26,172,154,3117,2731,25,19
35010,Moreton Bay,25,35,475,501,13,13,185,217,7676,7318,111,92,1023,915,40436,38307,329,288,1719,1311,82355,73081,452,416
35250,Mornington,7,6,0,0,0,0,43,35,0,3,0,0,112,107,5,7,0,0,58,41,45,46,0,0
35300,Mount Isa,18,26,14,20,0,0,87,104,151,252,4,8,280,222,1062,1599,8,13,380,266,2933,2639,16,17
35600,Murweh,0,5,3,11,0,0,26,27,130,161,3,5,36,37,383,435,3,3,46,32,644,503,4,3
35670,Napranum,0,3,0,0,0,0,31,32,0,0,0,0,95,90,0,12,0,0,76,77,8,14,0,0
35740,Noosa,0,7,34,45,4,0,13,14,724,660,11,7,69,61,5151,4741,48,45,105,95,11183,10052,83,65
35760,North Burnett,4,3,17,20,0,0,28,29,394,549,14,14,56,56,1063,1191,9,14,65,59,1334,1096,11,10
35780,Northern Peninsula Area,0,0,0,0,0,0,61,56,3,6,0,0,139,149,23,39,0,0,342,264,74,65,0,0
35790,Palm Island,4,9,0,0,0,0,86,126,0,3,0,0,248,251,8,7,0,3,180,138,46,35,0,0
35800,Paroo,3,4,8,6,0,0,19,14,33,54,0,3,35,38,142,162,3,0,45,22,190,171,4,0
36070,Pormpuraaw,6,11,0,0,0,0,33,41,0,5,0,0,72,81,10,15,0,0,42,26,24,22,0,0
36150,Quilpie,0,0,0,0,0,0,9,9,12,20,0,0,8,13,73,91,0,0,12,10,138,108,0,0
36250,Redland,4,12,124,128,4,0,68,67,2583,2310,28,37,333,303,15107,13984,101,92,485,400,30258,27478,169,126
36300,Richmond,0,0,0,0,0,0,0,0,26,44,0,0,7,9,74,119,0,0,7,0,121,93,0,0
36370,Rockhampton,16,19,103,161,3,0,131,131,2092,2273,31,24,475,439,7620,7403,74,66,704,557,13013,11354,79,79
36510,Scenic Rim,0,3,32,39,8,0,17,20,1041,1134,16,7,106,89,4000,4093,39,40,138,117,7045,5815,61,49
36580,Somerset,6,3,23,36,0,0,21,32,684,880,13,23,81,56,2617,2897,29,25,95,70,3527,2849,34,29
36630,South Burnett,4,5,42,61,0,0,44,57,1082,1348,16,29,147,129,3682,3798,37,54,156,127,4290,3449,47,42
36660,Southern Downs,5,4,52,44,3,0,46,50,1060,1195,25,28,139,106,4146,3995,57,59,148,122,5350,4438,54,40
36720,Sunshine Coast,11,14,226,241,0,6,74,98,4759,4466,64,41,479,534,29921,27014,230,218,806,698,60832,53190,331,265
36820,Tablelands,10,3,36,37,0,0,61,50,627,704,19,11,177,135,2618,2622,45,37,167,154,3872,3325,33,42
36910,Toowoomba,17,18,282,258,4,7,109,150,4075,4056,49,64,505,512,15594,15061,136,117,742,617,29557,25697,150,133
36950,Torres,6,5,0,4,0,0,64,45,5,14,0,0,150,125,51,79,0,0,372,334,241,200,6,3
36960,Torres Strait Island,9,10,3,0,0,0,146,131,20,27,0,0,194,270,17,28,0,0,602,546,60,50,0,3
37010,Townsville,27,36,252,231,3,8,238,237,2838,2954,45,42,1000,843,15270,15324,123,120,1672,1412,36460,32859,187,179
32250,Carpentaria,6,9,3,0,0,0,32,31,26,56,3,3,97,88,110,165,3,3,62,45,171,154,0,0
32260,Cassowary Coast,8,3,84,64,5,3,81,79,801,915,15,16,242,218,2704,2986,40,35,303,258,4029,3693,60,50
